Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Analog Channels,,
Model:,MSO-X 4154A,,Time (s),1 (VOLT),
,,,-2.158125E-08,0.000535564788151532,
,,,-2.098125E-08,0.000535564788151532,
,,,-2.038125E-08,0.000401673591113649,
,,,-1.978125E-08,0.000535564788151532,
,,,-1.918125E-08,0.000535564788151532,
,,,-1.858125E-08,0.000535564788151532,
,,,-1.798125E-08,0.000535564788151532,
,,,-1.738125E-08,0.000669455985189416,
,,,-1.678125E-08,0.000803347182227299,
,,,-1.618125E-08,0.000669455985189416,
,,,-1.558125E-08,0.000803347182227299,
,,,-1.498125E-08,0.000669455985189416,
,,,-1.438125E-08,0.000803347182227299,
,,,-1.378125E-08,0.000803347182227299,
,,,-1.318125E-08,0.000803347182227299,
,,,-1.258125E-08,0.000803347182227299,
,,,-1.198125E-08,0.000937238379265182,
,,,-1.138125E-08,0.000937238379265182,
,,,-1.078125E-08,0.000937238379265182,
,,,-1.018125E-08,0.00120502077334095,
,,,-9.58124999999999E-09,0.00120502077334095,
,,,-8.98125E-09,0.00120502077334095,
,,,-8.38125000000001E-09,0.00120502077334095,
,,,-7.78125000000002E-09,0.00133891197037883,
,,,-7.18125000000002E-09,0.00120502077334095,
,,,-6.58125000000003E-09,0.00133891197037883,
,,,-5.98124999999999E-09,0.00147280316741671,
,,,-5.38124999999999E-09,0.00147280316741671,
,,,-4.78125E-09,0.00147280316741671,
,,,-4.18125000000001E-09,0.00147280316741671,
,,,-3.58125000000002E-09,0.00174058556149248,
,,,-2.98125000000003E-09,0.0016066943644546,
,,,-2.38125000000003E-09,0.0016066943644546,
,,,-1.78124999999999E-09,0.0016066943644546,
,,,-1.18125E-09,0.0016066943644546,
,,,-5.81250000000004E-10,0.0016066943644546,
,,,1.87499999999882E-11,0.0016066943644546,
,,,6.1874999999998E-10,0.00174058556149248,
,,,1.21874999999997E-09,0.0016066943644546,
,,,1.81874999999996E-09,0.0016066943644546,
,,,2.41875000000001E-09,0.00187447675853036,
,,,3.01875E-09,0.00147280316741671,
,,,3.61874999999999E-09,0.00174058556149248,
,,,4.21874999999999E-09,0.00174058556149248,
,,,4.81874999999998E-09,0.00174058556149248,
,,,5.41874999999997E-09,0.00187447675853036,
,,,6.01875000000002E-09,0.00174058556149248,
,,,6.61875000000001E-09,0.00187447675853036,
,,,7.21875E-09,0.00187447675853036,
,,,7.81874999999999E-09,0.00174058556149248,
,,,8.41874999999998E-09,0.00174058556149248,
,,,9.01874999999998E-09,0.00174058556149248,
,,,9.61874999999997E-09,0.00187447675853036,
,,,1.021875E-08,0.00187447675853036,
,,,1.081875E-08,0.00174058556149248,
,,,1.141875E-08,0.00174058556149248,
,,,1.201875E-08,0.0016066943644546,
,,,1.261875E-08,0.00147280316741671,
,,,1.321875E-08,0.00133891197037883,
,,,1.381875E-08,0.0016066943644546,
,,,1.441875E-08,0.0016066943644546,
,,,1.501875E-08,0.00187447675853036,
,,,1.561875E-08,0.0016066943644546,
,,,1.621875E-08,0.00174058556149248,
,,,1.681875E-08,0.0016066943644546,
,,,1.741875E-08,0.00147280316741671,
,,,1.801875E-08,0.00133891197037883,
,,,1.861875E-08,0.0016066943644546,
,,,1.921875E-08,0.00174058556149248,
,,,1.981875E-08,0.00147280316741671,
,,,2.041875E-08,0.0016066943644546,
,,,2.101875E-08,0.0016066943644546,
,,,2.161875E-08,0.0016066943644546,
,,,2.221875E-08,0.00147280316741671,
,,,2.281875E-08,0.00174058556149248,
,,,2.341875E-08,0.00133891197037883,
,,,2.401875E-08,0.00174058556149248,
,,,2.461875E-08,0.0016066943644546,
,,,2.521875E-08,0.0016066943644546,
,,,2.581875E-08,0.00147280316741671,
,,,2.641875E-08,0.0016066943644546,
,,,2.701875E-08,0.00147280316741671,
,,,2.761875E-08,0.0016066943644546,
,,,2.821875E-08,0.0016066943644546,
,,,2.881875E-08,0.00147280316741671,
,,,2.941875E-08,0.00147280316741671,
,,,3.001875E-08,0.00133891197037883,
,,,3.061875E-08,0.00147280316741671,
,,,3.121875E-08,0.00147280316741671,
,,,3.181875E-08,0.00147280316741671,
,,,3.241875E-08,0.00133891197037883,
,,,3.301875E-08,0.00133891197037883,
,,,3.361875E-08,0.00133891197037883,
,,,3.421875E-08,0.00147280316741671,
,,,3.481875E-08,0.00120502077334095,
,,,3.541875E-08,0.00120502077334095,
,,,3.601875E-08,0.00120502077334095,
,,,3.661875E-08,0.00133891197037883,
,,,3.721875E-08,0.00107112957630306,
,,,3.781875E-08,0.00120502077334095,
,,,3.841875E-08,0.00120502077334095,
,,,3.901875E-08,0.00120502077334095,
,,,3.961875E-08,0.00133891197037883,
,,,4.021875E-08,0.00120502077334095,
,,,4.081875E-08,0.00120502077334095,
,,,4.141875E-08,0.00107112957630306,
,,,4.201875E-08,0.00133891197037883,
,,,4.261875E-08,0.00107112957630306,
,,,4.321875E-08,0.00120502077334095,
,,,4.381875E-08,0.00120502077334095,
,,,4.441875E-08,0.00120502077334095,
,,,4.501875E-08,0.00107112957630306,
,,,4.561875E-08,0.00133891197037883,
,,,4.621875E-08,0.00107112957630306,
,,,4.681875E-08,0.00133891197037883,
,,,4.741875E-08,0.00120502077334095,
,,,4.801875E-08,0.00120502077334095,
,,,4.861875E-08,0.00107112957630306,
,,,4.921875E-08,0.000937238379265182,
,,,4.981875E-08,0.00107112957630306,
,,,5.041875E-08,0.000937238379265182,
,,,5.101875E-08,0.000937238379265182,
,,,5.161875E-08,0.000937238379265182,
,,,5.221875E-08,0.000937238379265182,
,,,5.281875E-08,0.000937238379265182,
,,,5.341875E-08,0.00107112957630306,
,,,5.401875E-08,0.00120502077334095,
,,,5.461875E-08,0.000803347182227299,
,,,5.521875E-08,0.000803347182227299,
,,,5.581875E-08,0.000937238379265182,
,,,5.641875E-08,0.000937238379265182,
,,,5.701875E-08,0.000803347182227299,
,,,5.761875E-08,0.000937238379265182,
,,,5.821875E-08,0.000803347182227299,
,,,5.881875E-08,0.000937238379265182,
,,,5.941875E-08,0.000803347182227299,
,,,6.001875E-08,0.000937238379265182,
,,,6.061875E-08,0.000803347182227299,
,,,6.121875E-08,0.000937238379265182,
,,,6.181875E-08,0.000803347182227299,
,,,6.241875E-08,0.000937238379265182,
,,,6.301875E-08,0.000803347182227299,
,,,6.361875E-08,0.000803347182227299,
,,,6.421875E-08,0.000937238379265182,
,,,6.481875E-08,0.000803347182227299,
,,,6.541875E-08,0.000803347182227299,
,,,6.601875E-08,0.00107112957630306,
,,,6.661875E-08,0.00107112957630306,
,,,6.721875E-08,0.000669455985189416,
,,,6.781875E-08,0.000803347182227299,
,,,6.841875E-08,0.000803347182227299,
,,,6.901875E-08,0.000937238379265182,
,,,6.961875E-08,0.000669455985189416,
,,,7.021875E-08,0.000669455985189416,
,,,7.081875E-08,0.000803347182227299,
,,,7.141875E-08,0.000803347182227299,
,,,7.201875E-08,0.000803347182227299,
,,,7.261875E-08,0.000803347182227299,
,,,7.321875E-08,0.000535564788151532,
,,,7.381875E-08,0.000535564788151532,
,,,7.441875E-08,0.000535564788151532,
,,,7.501875E-08,0.000669455985189416,
,,,7.561875E-08,0.000669455985189416,
,,,7.621875E-08,0.000669455985189416,
,,,7.681875E-08,0.000669455985189416,
,,,7.741875E-08,0.000535564788151532,
,,,7.801875E-08,0.000669455985189416,
,,,7.861875E-08,0.000669455985189416,
,,,7.921875E-08,0.000669455985189416,
,,,7.981875E-08,0.000535564788151532,
,,,8.041875E-08,0.000669455985189416,
,,,8.101875E-08,0.000669455985189416,
,,,8.161875E-08,0.000535564788151532,
,,,8.221875E-08,0.000669455985189416,
,,,8.281875E-08,0.000669455985189416,
,,,8.341875E-08,0.000535564788151532,
,,,8.401875E-08,0.000803347182227299,
,,,8.461875E-08,0.000669455985189416,
,,,8.521875E-08,0.000803347182227299,
,,,8.581875E-08,0.000803347182227299,
,,,8.641875E-08,0.000669455985189416,
,,,8.701875E-08,0.000669455985189416,
,,,8.761875E-08,0.000669455985189416,
,,,8.821875E-08,0.000535564788151532,
,,,8.881875E-08,0.000535564788151532,
,,,8.941875E-08,0.000535564788151532,
,,,9.001875E-08,0.000669455985189416,
,,,9.061875E-08,0.000535564788151532,
,,,9.121875E-08,0.000401673591113649,
,,,9.181875E-08,0.000401673591113649,
,,,9.241875E-08,0.000535564788151532,
,,,9.301875E-08,0.000535564788151532,
,,,9.361875E-08,0.000267782394075766,
,,,9.421875E-08,0.000401673591113649,
,,,9.481875E-08,0.000267782394075766,
,,,9.541875E-08,0.000535564788151532,
,,,9.601875E-08,0.000401673591113649,
,,,9.661875E-08,0.000401673591113649,
,,,9.721875E-08,0.000535564788151532,
,,,9.781875E-08,0.000401673591113649,
,,,9.841875E-08,0.000401673591113649,
,,,9.901875E-08,0.000267782394075766,
,,,9.961875E-08,0.000401673591113649,
,,,1.0021875E-07,0.000401673591113649,
,,,1.0081875E-07,0.000401673591113649,
,,,1.0141875E-07,0.000401673591113649,
,,,1.0201875E-07,0.000401673591113649,
,,,1.0261875E-07,0.000401673591113649,
,,,1.0321875E-07,0.000535564788151532,
,,,1.0381875E-07,0.000401673591113649,
,,,1.0441875E-07,0.000401673591113649,
,,,1.0501875E-07,0.000401673591113649,
,,,1.0561875E-07,0.000267782394075766,
,,,1.0621875E-07,0.000401673591113649,
,,,1.0681875E-07,0.000267782394075766,
,,,1.0741875E-07,0.000401673591113649,
